iter	Passed	Remaining
0	143	43014
1	176	26284
2	190	18821
3	200	14813
4	209	12351
5	217	10650
6	225	9434
7	233	8516
8	241	7810
9	250	7253
10	258	6795
11	267	6412
12	275	6077
13	283	5798
14	292	5548
15	300	5328
16	309	5146
17	318	4984
18	326	4832
19	336	4704
20	344	4578
21	353	4467
22	362	4361
23	370	4266
24	379	4179
25	389	4101
26	397	4019
27	406	3950
28	415	3878
29	424	3817
30	432	3754
31	440	3692
32	448	3631
33	456	3574
34	464	3518
35	472	3468
36	481	3419
37	489	3372
38	496	3324
39	505	3282
40	513	3240
41	536	3298
42	545	3258
43	556	3237
44	574	3255
45	583	3220
46	597	3215
47	605	3177
48	633	3245
49	664	3321
50	679	3315
51	688	3283
52	698	3256
53	708	3229
54	718	3198
55	731	3185
56	744	3174
57	763	3185
58	785	3208
59	813	3255
60	824	3231
61	836	3209
62	849	3196
63	865	3193
64	875	3166
65	887	3147
66	897	3121
67	909	3104
68	921	3084
69	932	3062
70	940	3034
71	950	3011
72	962	2994
73	974	2976
74	984	2952
75	997	2938
76	1007	2916
77	1017	2895
78	1027	2874
79	1035	2848
80	1045	2827
81	1054	2804
82	1064	2783
83	1073	2760
84	1083	2741
85	1092	2719
86	1107	2710
87	1117	2691
88	1132	2684
89	1141	2663
90	1149	2640
91	1158	2618
92	1168	2600
93	1176	2578
94	1184	2555
95	1192	2533
96	1199	2510
97	1209	2492
98	1217	2471
99	1224	2449
100	1233	2430
101	1242	2412
102	1254	2399
103	1263	2382
104	1272	2364
105	1282	2346
106	1292	2332
107	1301	2314
108	1311	2297
109	1321	2282
110	1329	2264
111	1338	2247
112	1347	2230
113	1356	2212
114	1364	2195
115	1373	2178
116	1381	2161
117	1390	2144
118	1398	2127
119	1409	2114
120	1416	2095
121	1430	2087
122	1439	2071
123	1449	2057
124	1456	2039
125	1463	2021
126	1472	2005
127	1481	1990
128	1488	1973
129	1496	1956
130	1505	1941
131	1512	1925
132	1520	1909
133	1527	1892
134	1535	1877
135	1543	1860
136	1550	1844
137	1556	1827
138	1564	1811
139	1571	1795
140	1577	1779
141	1585	1763
142	1592	1748
143	1600	1733
144	1607	1718
145	1614	1703
146	1622	1688
147	1630	1674
148	1637	1659
149	1645	1645
150	1652	1630
151	1660	1616
152	1667	1602
153	1675	1588
154	1683	1574
155	1691	1561
156	1699	1547
157	1706	1533
158	1713	1519
159	1721	1506
160	1729	1493
161	1737	1479
162	1745	1467
163	1754	1454
164	1762	1441
165	1771	1430
166	1779	1417
167	1789	1405
168	1797	1393
169	1806	1381
170	1814	1368
171	1823	1357
172	1832	1344
173	1839	1332
174	1847	1319
175	1856	1307
176	1863	1295
177	1872	1283
178	1879	1270
179	1903	1269
180	1936	1272
181	1947	1262
182	1969	1259
183	1979	1247
184	2018	1255
185	2032	1245
186	2045	1236
187	2058	1226
188	2067	1214
189	2075	1201
190	2083	1188
191	2091	1176
192	2099	1163
193	2107	1151
194	2115	1139
195	2123	1126
196	2131	1114
197	2141	1102
198	2149	1091
199	2159	1079
200	2168	1067
201	2178	1056
202	2186	1044
203	2199	1035
204	2366	1096
205	2375	1083
206	2384	1071
207	2394	1059
208	2403	1046
209	2412	1033
210	2420	1021
211	2429	1008
212	2438	996
213	2447	983
214	2456	971
215	2465	958
216	2475	946
217	2486	935
218	2496	923
219	2508	912
220	2518	900
221	2529	888
222	2541	877
223	2553	866
224	2561	853
225	2569	841
226	2578	829
227	2591	818
228	2603	807
229	2615	796
230	2627	784
231	2637	773
232	2648	761
233	2662	751
234	2673	739
235	2683	727
236	2693	716
237	2703	704
238	2713	692
239	2722	680
240	2732	668
241	2741	657
242	2750	645
243	2758	633
244	2767	621
245	2775	609
246	2784	597
247	2798	586
248	2806	574
249	2815	563
250	2823	551
251	2831	539
252	2839	527
253	2847	515
254	2856	504
255	2867	492
256	2877	481
257	2888	470
258	2897	458
259	2907	447
260	2916	435
261	2925	424
262	2935	412
263	2944	401
264	2954	390
265	2964	378
266	2973	367
267	2982	356
268	2991	344
269	3000	333
270	3009	322
271	3018	310
272	3027	299
273	3035	288
274	3042	276
275	3050	265
276	3058	253
277	3066	242
278	3074	231
279	3082	220
280	3090	208
281	3098	197
282	3106	186
283	3113	175
284	3122	164
285	3130	153
286	3141	142
287	3149	131
288	3158	120
289	3167	109
290	3176	98
291	3192	87
292	3207	76
293	3221	65
294	3235	54
295	3248	43
296	3260	32
297	3273	21
298	3286	10
299	3298	0
